idActor|name
idActor00299|Brady Corbet
idActor00300|Brahim Hadjadj
idActor00301|Branka Katic
idActor00302|Branko Djuric
idActor00303|Brenda Blethyn
idActor00304|Brenda Fricker
idActor00305|Brendan Gleeson
idActor00306|Bria Vinaite
idActor00307|Brian Cox
idActor00308|Brian Dennehy
idActor00309|Brian Howe
idActor00310|Brian O'Halloran
idActor00311|Brian Tyler
idActor00312|Bridget Moynahan
idActor00313|Brie Larson
idActor00314|Brigitte Helm
idActor00315|Brigitte Lin
idActor00316|Brooke Adams
idActor00317|Brooklynn Prince
idActor00318|Bruce Bennett
idActor00319|Bruce Cabot
idActor00320|Bruce Campbell
idActor00321|Bruce Davison
idActor00322|Bruce Dern
idActor00323|Bruce Lee
idActor00324|Bruce Reitherman
idActor00325|Bruce Spence
idActor00326|Bruce Willis
idActor00327|Bruno Ganz
idActor00328|Bruno Kirby
idActor00329|Bruno Zanin
idActor00330|Bryan Cranston
idActor00331|Bryce Dallas Howard
idActor00332|Bud Cort
idActor00333|Buddy Ebsen
idActor00334|Bulle Ogier
idActor00335|Bunshi Katsura Vi
idActor00336|Burak Yigit
idActor00337|Burl Ives
idActor00338|Burt Lancaster
idActor00339|Burt Reynolds
idActor00340|Burt Young
idActor00341|Buster Keaton
idActor00342|Buzz Kilman
idActor00343|Byron Barr
idActor00344|Byron Howard
idActor00345|Bárbara Lennie
idActor00346|Bérénice Bejo
idActor00347|Börje Ahlstedt
idActor00348|Cab Calloway
idActor00349|Caio Junqueira
idActor00350|Caitriona Balfe
idActor00351|Caleb Landry Jones
idActor00352|Callan McAuliffe
idActor00353|Cameron Diaz
idActor00354|Candela Peña
idActor00355|Carey Mulligan
idActor00356|Carice van Houten
idActor00357|Carl Benton Reid
idActor00358|Carl Miller
idActor00359|Carl Möhner
idActor00360|Carl Weathers
idActor00361|Carla Gugino
idActor00362|Carla Quevedo
idActor00363|Carlo Buccirosso
idActor00364|Carlo Verdone
idActor00365|Carlos Martínez López
idActor00366|Carlos Peralta
idActor00367|Carol Kane
idActor00368|Carole Lombard
idActor00369|Caroline Goodall
idActor00370|Carrie Fisher
idActor00371|Carrie Henn
idActor00372|Carrie-Anne Moss
idActor00373|Carroll Baker
idActor00374|Carroll O'Connor
idActor00375|Cary Elwes
idActor00376|Cary Grant
idActor00377|Cary-Hiroyuki Tagawa
idActor00378|Casey Affleck
idActor00379|Cate Blanchett
idActor00380|Catherine Deneuve
idActor00381|Catherine Keener
idActor00382|Catherine O'Hara
idActor00383|Cathy Moriarty
idActor00384|Cathy Rosier
idActor00385|Catinca Untaru
idActor00386|Cecil Parker
idActor00387|Cecilia Roth
idActor00388|Celeste Holm
idActor00389|Celia Johnson
idActor00390|Celile Toyon Uysal
idActor00391|Cem Yilmaz
idActor00392|Charles Bronson
idActor00393|Charles Chaplin
idActor00394|Charles Durning
idActor00395|Charles Fleischer
idActor00396|Charles Laughton
idActor00397|Charles Martin Smith
idActor00398|Charles Ruggles
idActor00399|Charles Vanel
idActor00400|Charley Grapewin
idActor00401|Charlie Cox
idActor00402|Charlie Hunnam
idActor00403|Charlie Pye Jr.
idActor00404|Charlie Sheen
idActor00405|Charlie Yeung
idActor00406|Charlize Theron
idActor00407|Charlotte Rampling
idActor00408|Charlton Heston
idActor00409|Chase Ellison
idActor00410|Chazz Palminteri
idActor00411|Chen Chang
idActor00412|Chete Lera
idActor00413|Chiara Mastroianni
idActor00414|Chico Marx
idActor00415|Chief Dan George
idActor00416|Chieko Baishô
idActor00417|Chieko Higashiyama
idActor00418|Chika Sakamoto
idActor00419|Chishû Ryû
idActor00420|Chiwetel Ejiofor
idActor00421|Chloë Grace Moretz
idActor00422|Cho Jin-woong
idActor00423|Cho Yeo-jeong
idActor00424|Choi Min-sik
idActor00425|Choi Woo-sik
idActor00426|Chris Cooper
idActor00427|Chris Elliott
idActor00428|Chris Evans
idActor00429|Chris Hemsworth
idActor00430|Chris O'Donnell
idActor00431|Chris Owen
idActor00432|Chris Penn
idActor00433|Chris Pine
idActor00434|Chris Pratt
idActor00435|Chris Renaud
idActor00436|Chris Sanders
idActor00437|Chris Sarandon
idActor00438|Chris Williams
idActor00439|Christian Bale
idActor00440|Christian Berkel
idActor00441|Christian Friedel
idActor00442|Christian Slater
idActor00443|Christina Hendricks
idActor00444|Christine Hargreaves
idActor00445|Christoph Waltz
idActor00446|Christopher Adamson
idActor00447|Christopher Carley
idActor00448|Christopher Eccleston
idActor00449|Christopher Guest
idActor00450|Christopher Heyerdahl
idActor00451|Christopher Lloyd
idActor00452|Christopher Mintz-Plasse
idActor00453|Christopher Plummer
idActor00454|Christopher Reeve
idActor00455|Christopher Rivera
idActor00456|Christopher Walken
idActor00457|Chulpan Khamatova
idActor00458|Ciarán Hinds
idActor00459|Cillian Murphy
idActor00460|Claire Bloom
idActor00461|Claire Danes
idActor00462|Claire Maurier
idActor00463|Claire Rushbrook
idActor00464|Claire Trevor
idActor00465|Clark Gable
idActor00466|Claude Rains
idActor00467|Claudette Colbert
idActor00468|Claudia Cardinale
idActor00469|Cleavon Little
idActor00470|Clifton Powell
idActor00471|Clifton Webb
idActor00472|Clint Eastwood
idActor00473|Clive Owen
